Store #,Store Name,Store Address,Store City,Store ZIp,Store Phone,Store Fax,State
1601,"LOWE'S OF SCHERERVILLE, IN",637 U.S. HIGHWAY 41,SCHERERVILLE,46375-1215,(219)864-1296,(219)864-1720,IN
1910,"LOWE'S OF KIMBALL, TN",525 DIXIE LEE CENTER ROAD,KIMBALL,37347,(423)837-3110,(423)837-3111,TN
1013,"LOWE'S OF MISSION VALLEY, CA.",2318 NORTHSIDE DRIVE,SAN DIEGO,92108-2704,(619)584-5500,(619)584-5535,CA
1139,"LOWE'S OF MACEDONIA, OH",8224 GOLDEN LINK BLVD,NORTHFIELD,44067-2067,(330)908-2750,(330)908-2751,OH
726,"LOWE'S OF WILSON, NC",2501 FOREST HILLS ROAD WEST,WILSON,27893-3460,(252)243-5311,(252)293-0899,NC
615,"LOWE'S OF ALPHARETTA, GA.",10580 DUKE DR,ALPHARETTA,30004,(678)461-0171,(678)461-0968,GA
2844,"LOWE'S OF CENTENNIAL HILLS, NV",7751 N EL CAPITAN WAY,LAS VEGAS,89143,(702)352-0940,(702)352-0941,NV
2282,"LOWE'S OF E. BRANDON, FL",1515 E. BRANDON BLVD.,BRANDON,33511,(813)793-9152,(813)793-9153,FL
316,"LOWE'S OF CHINO HILLS, CA",13251 PEYTON DRIVE,CHINO HILLS,91709-6003,(909)627-6039,(909)517-3521,CA
2382,"LOWE'S OF SALEM, NH",541 SOUTH BROADWAY,SALEM,03079-4499,(603)681-4218,(603)681-4219,NH
907,LOWE'S E-COMMERCE,1502 RIVER LIBERTY GROVE ROAD,NORTH WILKESBORO,28659,(800)445-6937,(800)658-2910,NC
467,"LOWE'S OF ORANGE CITY, FL",901 SAXON BLVD.,ORANGE CITY,32763-8324,(386)774-7000,(386)774-1100,FL
1859,"LOWE'S OF ALLEN PARK, MI",23111 OUTER DRIVE,ALLEN PARK,48101-3100,(313)633-2961,(313)633-2962,MI
3051,"LOWE'S OF MCCANDLESS, PA",9051 ST SIMON WAY,PITTSBURGH,15237,(412)536-2027,(412)536-2028,PA
2824,"LOWE'S OF SCHERTZ, TX",17280 IH 35 N,SCHERTZ,78154,(210)619-8300,(210)619-8301,TX
1584,"LOWE'S OF NEWBURGH, NY",1239 ROUTE 300,NEWBURGH,12550-5007,(845)567-2860,(845)567-2861,NY
478,"LOWE'S OF MT. AIRY, NC","692 S. ANDY GRIFFITH PKY, STE100",MOUNT AIRY,27030-4019,(336)789-6100,(336)789-2542,NC
1159,"LOWE'S OF CENTRAL OMAHA, NE",7525 DODGE STREET,OMAHA,68114-3632,(402)955-0700,(402)955-0944,NE
212,"LOWE'S OF MOBILE, AL",151 EAST I-65 SERVICE ROAD SOUTH,MOBILE,36606-3900,(251)473-1880,(251)473-8166,AL
15,"LOWE'S OF LAYTON, UT.",1055 W. ANTELOPE DRIVE,LAYTON,84041-1636,(801)776-4447,(801)776-4693,UT
657,"LOWE'S OF OWENSBORO, KY.",415 FULTON DRIVE,OWENSBORO,42303-7741,(270)691-9900,(270)691-9181,KY
1522,"LOWE'S OF BOONE, NC",1855 BLOWING ROCK ROAD,BOONE,28607-6149,(828)262-0773,(828)265-1201,NC
721,"LOWE'S OF OLATHE, KS",13750 SOUTH BLACKBOB RD.,OLATHE,66062-1932,(913)397-7070,(913)397-7171,KS
340,"LOWE'S OF ARVADA, CO.",5405 WADSWORTH BYPASS,ARVADA,80002-3733,(303)425-3323,(303)425-5198,CO
2375,"LOWE'S OF HUDSON, MA",6 HIGHLAND COMMON EAST,HUDSON,1749,(978)568-3300,(978)568-3301,MA
1549,"LOWE'S OF EDMOND, OK",1320 EAST 2ND STREET,EDMOND,73034-5319,(405)330-4166,(405)330-2961,OK
92,"LOWE'S OF GALESBURG, IL",531 WEST CARL SANDBURG DR,GALESBURG,61401-1301,(309)342-4488,(309)342-4556,IL
1740,"LOWE'S OF HALFMOON, NY",476 ROUTE 146,HALFMOON,12065-3206,(518)348-2940,(518)348-2941,NY
2714,"LOWE'S OF MID CITY LOS ANGELES, CA",4550 WEST PICO BLVD UNIT D-101,LOS ANGELES,90019,(323)617-9570,(323)617-9571,CA
2858,"LOWE'S OF OGDEN, UT",344 N. WASHINGTON BOULEVARD,OGDEN,84404,(801)398-5460,(801)398-5461,UT
2634,"LOWE'S OF WEAVERVILLE, NC",24 NORTHRIDGE COMMONS PARKWAY,WEAVERVILLE,28787-0323,(828)782-9020,(828)782-9021,NC
1797,"LOWE'S OF PAINTSVILLE, KY",527 NORTH MAYO TRAIL,PAINTSVILLE,41240-1810,(606)788-1360,(606)788-1361,KY
1834,"LOWE'S OF BANNER ELK, NC",2014 TYNECASTLE HIGHWAY,BANNER ELK,28604-9710,(828)897-8700,(828)897-8701,NC
1671,"LOWE'S OF S. MORGANTOWN, WV",9595 MALL ROAD,MORGANTOWN,26501-8527,(304)983-3100,(304)983-3101,WV
753,"LOWE'S OF O'FALLON, MO.",8501 MEXICO ROAD,ST PETERS,63376-1261,(636)379-2855,(636)980-2666,MO
1734,"LOWE'S OF CENTRAL VENTURA, CA",500 SOUTH MILLS ROAD,VENTURA,93003-3459,(805)675-8800,(805)675-8801,CA
1800,"LOWE'S OF HARRIMAN, TN",1800 ROANE STATE HIGHWAY,HARRIMAN,37748-8307,(865)717-1956,(865)717-1957,TN
2440,"LOWE'S OF EULESS, TX",3000 STATE HIGHWAY 121,EULESS,76039,(817)684-4540,(817)684-4541,TX
557,"LOWE'S OF GOLDSBORO, NC",1202 N BERKELEY BLVD,GOLDSBORO,27534-3420,(919)778-9969,(919)778-4046,NC
455,"LOWE'S OF BURLINGTON, OH.",294 COUNTY ROAD 120 S.,SOUTH POINT,45680-8825,(740)894-7120,(740)894-6144,OH
2350,"LOWE'S OF WAVELAND, MS",9020 HIGHWAY 603,WAVELAND,39576-2660,(228)463-8788,(228)463-8789,MS
2581,"LOWE'S OF NICHOLASVILLE, KY",1421 KEENE ROAD,NICHOLASVILLE,40356-8922,(859)881-6200,(859)881-6201,KY
3002,"LOWE'S OF MARBLE FALLS, TX",3200 N US HIGHWAY 281,MARBLE FALLS,78654-3819,(830)798-5460,(830)798-5461,TX
792,"LOWE'S OF SCOTTSDALE, AZ",16285 NORTH SCOTTSDALE RD,SCOTTSDALE,85254-1522,(480)607-0246,(480)607-6517,AZ
1703,"LOWE'S OF W. SPRING VALLEY, NV",5050 SOUTH FORT APACHE ROAD,LAS VEGAS,89148-1714,(702)248-1700,(702)248-1701,NV
2812,"LOWE'S OF NEW BRAUNFELS, TX",1455 IH 35 SOUTH,NEW BRAUNFELS,78130,(830)626-4610,(830)626-4611,TX
118,"LOWE'S OF KANKAKEE, IL",860 N KINZIE AVE,BRADLEY,60915-1231,(815)933-5555,(815)933-0969,IL
3000,"LOWE'S OF TEMPE, AZ",777 EAST BASELINE ROAD,TEMPE,85283-1205,(480)458-1870,(480)458-1871,AZ
2478,"LOWE'S OF S. WARNER ROBINS, GA",1109 HIGHWAY 96,KATHLEEN,31047-2110,(478)988-5160,(478)988-5161,GA
2550,"LOWE'S OF EL CENTRO, CA",2053 NORTH IMPERIAL AVENUE,EL CENTRO,92243-1324,(760)337-6700,(760)337-6701,CA
119,"LOWE'S OF WAIPAHU, HI",94-805 LUMIAINA STREET,WAIPAHU,96797-5025,(808)676-8381,(808)676-5381,HI
1645,"LOWE'S OF N.E. CENTRAL SAN ANTONIO, TX",1470 AUSTIN HIGHWAY,SAN ANTONIO,78209-4338,(210)828-6011,(210)828-2746,TX
2206,"LOWE'S OF MANITOWOC, WI",4401 CRAWFORD BLVD.,MANITOWOC,54220,(920)683-5540,(920)683-5541,WI
1937,"LOWE'S OF JERSEY CITY, NJ",727 ROUTE 440,JERSEY CITY,07304-1000,(201)234-3170,(201)234-3171,NJ
2701,"LOWE'S OF GLENVILLE, NY",93 FREEMANS BRIDGE ROAD,GLENVILLE,12302-3506,(518)952-8789,(518)952-8790,NY
42,"LOWE'S OF DAYTON-TROTWOOD, OH.",5252 SALEM AVE.,TROTWOOD,45426-1702,(937)854-8200,(937)854-8011,OH
1539,"LOWE'S OF CHEYENNE, WY",1608 PRAIRIE AVENUE,CHEYENNE,82009-4836,(307)632-3616,(307)635-6245,WY
1969,"LOWE'S OF WEATHERFORD, TX",118 E INTERSTATE 20,WEATHERFORD,76087-8556,(817)757-1000,(817)757-1001,TX
1500,"LOWE'S OF OWASSO, OK",12001 E. 96TH STREET NORTH,OWASSO,74055-5329,(918)274-0881,(918)274-4921,OK
1805,"LOWE'S OF BUCKHANNON, WV",40 CLARKSBURG ROAD,BUCKHANNON,26201-8400,(304)878-1000,(304)878-1001,WV
1693,"LOWE'S OF MCMINNVILLE, OR",1250 SW BOOTH BEND ROAD,MCMINNVILLE,97128,(503)435-3370,(503)435-3371,OR
248,"LOWE'S OF MEDFORD, OR.",3601 CRATER LAKE HIGHWAY,MEDFORD,97504-9259,(541)776-8421,(541)857-4075,OR
1763,"LOWE'S OF KINGSVILLE, TX",1420 GENERAL CAVAZOS BLVD,KINGSVILLE,78363-7144,(361)246-1000,(361)246-1001,TX
498,"LOWE'S OF CLARKSVILLE, TN",2150 LOWES DRIVE,CLARKSVILLE,37040-6688,(931)920-4102,(931)920-5563,TN
2991,"LOWE'S OF HANNIBAL, MO",3651 STARDUST DRIVE,HANNIBAL,63401-6286,(573)248-8170,(573)248-8171,MO
3316,"LOWE'S OF HOLLY SPRINGS, NC",2240 RALPH STEPHENS RD,HOLLY SPRINGS,27540,(919)586-3155,(919)586-3156,NC
1692,"LOWE'S OF LEBANON, TN",634 SOUTH CUMBERLAND STREET,LEBANON,37087-4108,(615)547-7236,(615)547-7237,TN
671,"LOWE'S OF WASHINGTON, PA.",STRABANE SQ 355 WASHINGTON RD,WASHINGTON,15301-2701,(724)223-7700,(724)223-8335,PA
2666,"LOWE'S OF LONDON, KY",136 KEAVY ROAD,LONDON,40744-7019,(606)330-1440,(606)330-1441,KY
558,"LOWE'S OF SOMERSET, KY.",2001 SOUTH HWY. 27,SOMERSET,42501-2927,(606)679-5656,(606)678-7556,KY
1843,"LOWE'S OF CENTRAL BRADENTON, FL",4012 14TH STREET WEST,BRADENTON,34205-6006,(941)526-1071,(941)526-1072,FL
387,"LOWE'S OF NORTH GREENSBORO, NC",3001 BATTLEGROUND AVE.,GREENSBORO,27408-2707,(336)545-2040,(336)545-2045,NC
2613,"LOWE'S OF CLEARFIELD, PA",100 LOWES BOULEVARD,CLEARFIELD,16830-6004,(814)290-2000,(814)290-2001,PA
2483,"LOWE'S OF CATSKILL, NY",60 CATSKILL COMMONS,CATSKILL,12414-1755,(518)943-6330,(518)943-6331,NY
622,"LOWE'S OF N. WILMINGTON, DE",3100 BRANDYWINE PKWY 1ST FLOOR,WILMINGTON,19803-1496,(302)479-7799,(302)479-7788,DE
1830,"LOWE'S OF KANSAS CITY, KS",6920 STATE AVENUE,KANSAS CITY,66102-3023,(913)328-7170,(913)328-7171,KS
2277,"LOWE'S OF HELENA, MT",3291 NORTH SANDERS STREET,HELENA,59602-0225,(406)495-9750,(406)495-9751,MT
2293,"LOWE'S OF LEHI, UT",242 NORTH 1200 EAST,LEHI,84043,(801)768-6020,(801)768-6021,UT
1110,"LOWE'S OF PORTAGE, MI",5108 SOUTH WESTNEDGE AVENUE,PORTAGE,49002-0403,(269)276-0215,(269)276-0995,MI
3306,"LOWE'S OF CINCO RANCH (KATY), TX",9505 SPRING GREEN BLVD,KATY,77494,(346)307-8193,(346)307-8194,TX
2763,"LOWE'S OF WHITEHALL TOWNSHIP, PA",2650 MACARTHUR ROAD,WHITEHALL,18052-3817,(610)686-5231,(610)686-5232,PA
508,"LOWE'S OF BURLINGTON, NC",125 HUFFMAN MILL RD.,BURLINGTON,27215-5112,(336)226-5656,(336)226-4225,NC
772,"LOWE'S OF BRADENTON, FL",7395 52ND PLACE EAST,BRADENTON,34203-8915,(941)756-1822,(941)756-3923,FL
2834,"LOWE'S OF VERNAL, UT",2105 WEST HIGHWAY 40,VERNAL,84078,(435)781-9400,(435)781-9401,UT
2736,"LOWE'S OF ROCHESTER, MN",4550 MAINE AVENUE SE,ROCHESTER,55904,(507)328-8920,(507)329-8921,MN
2617,"LOWE'S OF CONCORD, NH",90 FORT EDDY ROAD,CONCORD,03301-7404,(603)573-4101,(603)573-4102,NH
3498,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1872,"LOWE'S OF PUENTE HILLS, CA",17789 CASTELTON STREET,CITY OF INDUSTRY,91748-1706,(626)217-1133,(626)217-1134,CA
638,"LOWE'S OF BLOUNT COUNTY, TN",1098 HUNTER'S CROSSING DRIVE,ALCOA,37701-1849,(865)982-2117,(865)982-5118,TN
2511,"LOWE'S OF SIDNEY, OH",2700 MICHIGAN STREET,SIDNEY,45365-9007,(937)498-8400,(937)498-8401,OH
1897,"LOWE'S OF ORANGE PARK, FL",2285 KINGSLEY AVENUE,ORANGE PARK,32073,(904)682-7667,(904)682-7668,FL
2819,"LOWE'S OF EXETER TOWNSHIP, PA",4535 PERKIOMEN AVENUE,READING,19606,(610)370-4860,(610)370-4861,PA
1141,"LOWE'S OF KERNERSVILLE, NC",145 HARMON CREEK ROAD,KERNERSVILLE,27284-9866,(336)992-0509,(336)996-6367,NC
1072,"LOWE'S OF GALAX, VA.",8417 CARROLLTON/PIKE ROAD,GALAX,24333-6240,(276)238-3000,(276)238-3017,VA
33,"LOWE'S OF NEWNAN, GA.",955 BULLSBORO DR,NEWNAN,30265-2130,(770)304-1600,(770)304-9564,GA
1647,"LOWE'S OF FERNANDINA BEACH, FL",474283 EAST SR 200,FERNANDINA BEACH,32034-6927,(904)277-5000,(904)277-5001,FL
609,"LOWE'S OF W. CHESTERFIELD, VA.",7001 WINTERPOCK RD.,CHESTERFIELD,23832-2541,(804)639-3664,(804)639-3665,VA
2943,"LOWE'S OF EAST KANSAS CITY, MO",4201 STERLING AVENUE,KANSAS CITY,64133,(816)743-2300,(816)743-2301,MO
357,"LOWE'S OF KOKOMO, IN",4005 SOUTH LAFOUNTAIN,KOKOMO,46902-6913,(765)453-1000,(765)453-1560,IN
589,"LOWE'S OF LAKE CHARLES, LA.",2800 DEREK DRIVE,LAKE CHARLES,70607-7587,(337)474-8220,(337)474-7714,LA
2435,"LOWE'S OF BROOKINGS, SD",812 25TH AVENUE,BROOKINGS,57006-1758,(605)696-2730,(605)696-2731,SD
145,"LOWE'S OF NW INDIANAPOLIS, IN",8440 MICHIGAN RD.,INDIANAPOLIS,46268-1938,(317)875-7500,(317)228-2226,IN
3529,NULL,NULL,NULL,NULL,NULL,NULL,NULL
610,"LOWE'S OF ROCKWALL, TX",851 N. STEGER TOWN DR,ROCKWALL,75032-5660,(972)772-1967,(972)772-4614,TX
707,"LOWE'S OF MARTINSVILLE, VA.",1059 COMMONWEALTH BLVD,MARTINSVILLE,24112-1888,(276)656-1665,(276)656-1026,VA
2627,"LOWE'S OF MAPLE GROVE, MN",11201 FOUNTAINS DR NORTH,MAPLE GROVE,55369-7201,(763)488-2001,(763)488-2002,MN
417,"LOWE'S OF NE TALLAHASSEE, FL",2121 NE CAPITAL CIRCLE,TALLAHASSEE,32308-4303,(850)386-5022,(850)386-9399,FL
535,"LOWE'S OF N. OKLAHOMA CITY, OK",2400 W. MEMORIAL RD.,OKLAHOMA CITY,73134-8012,(405)936-2060,(405)936-2074,OK
1637,"LOWE'S OF MAPLE SHADE, NJ",2834 ROUTE 73 NORTH,MAPLE SHADE,08052-1619,(856)727-0990,(856)727-4685,NJ
1043,"LOWE'S OF ANTIOCH, CA",1951 AUTO CENTER DRIVE,ANTIOCH,94509-2902,(925)756-0370,(925)756-0382,CA
724,"LOWE'S OF PORT RICHEY, FL",8312 LITTLE ROAD,NEW PORT RICHEY,34654-4919,(727)859-9450,(727)859-9466,FL
1827,"LOWE'S OF BROOKSVILLE, FL",7117 BROAD STREET,BROOKSVILLE,34601-5536,(352)754-6320,(352)754-6321,FL
3040,"LOWE'S OF N. LANCASTER, SC",181 FORT MILL HIGHWAY,INDIAN LAND,29707,(803)578-4165,(803)578-4166,SC
539,"LOWE'S OF MT. PLEASANT, SC",1104 MARKET CENTER BLVD.,MOUNT PLEASANT,29464-7467,(843)881-5757,(843)881-9755,SC
1976,"LOWE'S OF HAMPTON TOWNSHIP, NJ",39 HAMPTON HOUSE ROAD,NEWTON,07860-1408,(973)300-3820,(973)300-3821,NJ
2868,"LOWE'S OF MARQUETTE, MI",3500 US 41 WEST,MARQUETTE,49855,(906)226-4760,(906)226-4761,MI
1683,"LOWE'S OF VENICE, FL",1745 TAMIAMI TRAIL SOUTH,VENICE,34293-1663,(941)525-1000,(941)525-1001,FL
3279,"LOWE'S OF KAHULUI, HI",214 HO'OKELE STREET,KAHULUI,96732,(808)872-1920,(808)872-1921,HI
668,"LOWE'S OF HENDERSONVILLE, TN",360 EAST MAIN ST.,HENDERSONVILLE,37075-2523,(615)822-3995,(615)822-3976,TN
2523,"LOWE'S OF FRANKLIN, IN",2219 N. MORTON STREET,FRANKLIN,46131-9736,(317)346-3400,(317)346-3401,IN
1551,"LOWE'S OF GAYLORD, MI",600 EDELWEISS VILLAGE PKWY,GAYLORD,49735-9299,(989)705-3920,(989)705-3921,MI
728,"LOWE'S OF ANDERSON, SC",3515 CLEMSON BLVD.,ANDERSON,29621-1312,(864)964-9228,(864)964-9232,SC
2505,"LOWE'S OF MURPHY, NC",198 BULLDOG DRIVE,MURPHY,28906-8802,(828)835-4660,(828)835-4661,NC
1735,"LOWE'S OF MADISON, IN",511 IVY TECH DRIVE,MADISON,47250-1882,(812)801-2000,(812)801-2001,IN
117,"LOWE'S OF DUBUQUE, IA.",4100 DODGE ST.,DUBUQUE,52003-2616,(563)588-8008,(563)588-9961,IA
591,"LOWE'S OF ALTON, IL",1619 HOMER ADAMS PKWY.,ALTON,62002-5602,(618)474-9900,(618)474-9916,IL
2767,"LOWE'S OF KANSAS CITY (GLADSTONE), MO",4811 NORTH OAK TRAFFICWAY,KANSAS CITY,64118,(816)414-4220,(816)414-4221,MO
1689,"LOWE'S OF CLINTON, NC",911 SUNSET AVENUE,CLINTON,28328-3815,(910)337-0000,(910)337-0001,NC
2691,"LOWE'S OF E. RICHMOND, VA",4551 S. LABURNUM AVENUE,HENRICO,23231-2421,(804)226-5440,(804)226-5441,VA
1878,"LOWE'S OF APEX, NC",1101 BEAVER CREEK COMMONS DR,APEX,27502-3920,(919)303-4200,(919)303-4201,NC
1590,"LOWE'S OF PHILLIPSBURG, NJ",1325 U.S. ROUTE 22,PHILLIPSBURG,08865-4103,(908)213-3047,(908)213-2096,NJ
1507,"LOWE'S OF NORCROSS, GA",2035 BEAVER RUIN ROAD,NORCROSS,30071-3711,(770)441-0342,(770)449-0732,GA
757,"LOWE'S OF PLYMOUTH MEETING, PA",2002 CHEMICAL ROAD,PLYMOUTH MEETING,19462-1707,(610)834-8885,(610)941-1169,PA
525,"LOWE'S OF S. FORT WORTH, TX",4305 BRYANT IRVIN ROAD,FORT WORTH,76132-1061,(817)738-2060,(817)738-7599,TX
1565,"LOWE'S OF LIBERTY, MO",1920 N. STEWART ROAD,LIBERTY,64068,(816)407-2140,(816)407-2141,MO
1799,"LOWE'S OF ATHENS, AL",1109 US HIGHWAY 72 EAST,ATHENS,35611-4401,(256)771-5600,(256)771-5601,AL
1776,"LOWE'S OF YORK, SC",1010 EAST LIBERTY ST,YORK,29745-6426,(803)684-1548,(803)684-1549,SC
1921,"LOWE'S OF HANOVER, NJ",230 EAST HANOVER AVE,MORRIS PLAINS,7950,(973)775-5910,(973)111-1111,NJ
3477,NULL,NULL,NULL,NULL,NULL,NULL,NULL
720,"LOWE'S OF TIMONIUM, MD.",19 TEXAS STATION COURT,TIMONIUM,21093-8263,(410)683-8500,(410)683-8560,MD
1606,"LOWE'S OF STREETSBORO, OH",1210 STATE ROUTE 303,STREETSBORO,44241-1000,(330)626-2980,(330)626-4357,OH
727,"LOWE'S OF TULLAHOMA, TN",2211 NORTH JACKSON STREET,TULLAHOMA,37388-2209,(931)455-6722,(931)455-4881,TN
1935,"LOWE'S OF N.E. SARASOTA, FL",5750 FRUITVILLE ROAD,SARASOTA,34232-6409,(941)961-6261,(941)961-6262,FL
3168,"LOWE'S OF BEAR, DE",1030 EAST SONGSMITH DRIVE,BEAR,19701,(302)261-4060,(302)261-4061,DE
1621,"LOWE'S OF MENTOR, OH",9600 MENTOR AVENUE,MENTOR,44060-4529,(440)392-0027,(440)354-0408,OH
1610,"LOWE'S OF VINCENNES, IN",2700 NORTH 6TH STREET,VINCENNES,47591-3625,(812)895-0538,(812)895-1430,IN
2920,"LOWE'S OF N. YORK COUNTY, SC",5288 HIGHWAY 557,CLOVER,29710,(803)656-7000,(803)656-7001,SC
1603,"LOWE'S OF SNELLVILLE, GA",1615 SCENIC HWY N,SNELLVILLE,30078-2214,(770)972-8999,(770)972-0617,GA
1533,"LOWE'S OF BLUFFTON, SC",35 MALPHRUS ROAD,BLUFFTON,29910-6635,(843)837-8887,(843)837-5513,SC
2331,"LOWE'S OF CARLSBAD, CA",2515 PALOMAR AIRPORT RD,CARLSBAD,92008,(760)331-0195,(760)111-1111,CA
1571,"LOWE'S OF MIDDLETOWN, DE",500 WEST MAIN STREET,MIDDLETOWN,19709-9651,(302)376-3006,(302)376-3007,DE
758,"LOWE'S OF RANCHO SANTA MARGARITA, CA",30481 AVENIDA DE LAS FLORES,RANCHO SANTA MARGARITA,92688-3923,(949)589-5005,(949)589-5021,CA
1566,"LOWE'S OF MARIETTA, OH",842 PIKE STREET,MARIETTA,45750-3503,(740)374-2151,(740)374-3828,OH
2228,"LOWE'S OF WAYNESBORO, PA",12925 WASHINGTON TOWNSHIP BLVD,WAYNESBORO,17268,(717)387-4000,(717)387-4001,PA
708,"LOWE'S OF HEATH, OH.",888 HEBRON ROAD,HEATH,43056-1356,(740)522-0003,(740)522-0158,OH
271,"LOWE'S OF LUBBOCK, TX",5022 WEST LOOP 289,LUBBOCK,79424-1119,(806)791-3000,(806)791-3557,TX
242,"LOWE'S OF SCRANTON, PA.",901 VIEWMONT DR.,DICKSON CITY,18519-1663,(570)344-9200,(570)344-9219,PA
1121,"LOWE'S OF GRANDVILLE, MI",4705 CANAL AVE SW,GRANDVILLE,49418-8752,(616)406-0200,(616)406-0202,MI
1850,"LOWE'S OF S. SCOTTSDALE, AZ",7950 EAST MCDOWELL ROAD,SCOTTSDALE,85257-3748,(480)874-8120,(480)874-8121,AZ
411,"LOWE'S OF HUNTSVILLE, AL",10050 S. MEMORIAL PKWY,HUNTSVILLE,35803-1010,(256)880-1981,(256)880-1565,AL
787,"LOWE'S OF DANVILLE, VA.",280 LOWE'S DRIVE,DANVILLE,24540-5926,(434)799-6210,(434)799-6239,VA
1562,"LOWE'S OF LA HABRA, CA",1380 SOUTH BEACH BOULEVARD,LA HABRA,90631-6374,(562)690-5122,(562)690-4693,CA
1016,"LOWE'S OF N.W. MACON, GA.",6011 ZEBULON ROAD,MACON,31210-2032,(478)405-7432,(478)405-5958,GA
765,"LOWE'S OF KALAMAZOO, MI",5125 WEST MAIN STREET,KALAMAZOO,49009-1003,(269)345-2110,(269)345-2190,MI
2291,"LOWE'S OF BREWER, ME",15 ARISTA DRIVE,BREWER,4412,(207)299-9039,(207)299-9040,ME
1782,"LOWE'S OF CRESTVIEW, FL",298 RASBERRY ROAD,CRESTVIEW,32536-6427,(850)423-7400,(850)423-7401,FL
642,"LOWE'S OF W. ORLANDO, FL",8700 W. COLONIAL DR.,ORLANDO,32818-6692,(407)532-6884,(407)532-2981,FL
486,"LOWE'S OF WEST KNOXVILLE, TN",210 N. PETERS RD.,KNOXVILLE,37923-4902,(865)690-9770,(865)690-6455,TN
540,"LOWE'S OF MIDDLETOWN, NY.",700 NORTH GALLERIA DRIVE,MIDDLETOWN,10941-3031,(845)692-8044,(845)692-0024,NY
649,"LOWE'S OF CLEVELAND, TN",229 PAUL HUFF PARKWAY N.W.,CLEVELAND,37312-2966,(423)476-9088,(423)476-5279,TN
2357,"LOWE'S OF N. HAGERSTOWN, MD",12809 SHANK FARM WAY,HAGERSTOWN,21742,(240)313-7129,(240)313-7130,MD
1904,"LOWE'S OF KALISPELL, MT",2360 HIGHWAY 93 NORTH,KALISPELL,59901,(406)758-3030,(406)758-3031,MT
1090,"LOWE'S OF GILBERT, AZ",734 SOUTH GILBERT ROAD,GILBERT,85296-2834,(480)558-1007,(480)558-1054,AZ
500,"LOWE'S OF MONACA, PA.",115 WAGNER RD.,MONACA,15061-2457,(724)774-5144,(724)774-5350,PA
513,"LOWE'S OF S.W. DALLAS, TX",8520 SOUTH HAMPTON RD.,DALLAS,75232-5129,(972)228-2880,(972)228-2434,TX
1019,"LOWE'S OF SAN BRUNO, CA",1340 EL CAMINO REAL,SAN BRUNO,94066-1304,(650)616-7800,(650)616-7813,CA
1033,"LOWE'S OF HENDERSON, NV",440 MARKS STREET,HENDERSON,89014-6668,(702)458-5297,(702)458-6426,NV
303,"LOWE'S OF MIDDLETOWN, OH.",3125 TOWNE BOULEVARD,MIDDLETOWN,45044-6299,(513)727-3900,(513)727-3914,OH
2229,"LOWE'S OF LOCK HAVEN, PA",284 HOGAN BOULEVARD,MILL HALL,17751-1907,(570)484-4100,(570)484-4101,PA
63,"LOWE'S OF MIDLAND, TX",3315 NORTH LOOP 250 W.,MIDLAND,79707,(432)689-2828,(432)689-2870,TX
1720,"LOWE'S OF LAKE PARK, FL",401 NORTH CONGRESS AVENUE,LAKE PARK,33403-1803,(561)207-9037,(561)207-9038,FL
2611,"LOWE'S OF PAPILLION, NE",8707 SOUTH 71ST PLAZA,PAPILLION,68133,(402)516-0968,(402)516-0969,NE
1781,"LOWE'S OF CLOVIS, NM",3601 NORTH PRINCE STREET,CLOVIS,88101-2104,(575)742-4000,(575)742-4001,NM
1596,"LOWE'S OF S. LANSING, MI",6821 SOUTH CEDAR STREET,LANSING,48911-6908,(517)699-2940,(517)699-3654,MI
2417,"LOWE'S OF SCOTT TOWNSHIP, PA",2100 WASHINGTON PIKE,CARNEGIE,15106,(412)200-3101,(412)200-3102,PA
2470,"LOWE'S OF CENTRAL NEW ORLEANS, LA",2501 ELYSIAN FIELDS AVENUE,NEW ORLEANS,70117-7937,(504)948-8568,(504)948-8569,LA
265,"LOWE'S OF N.E. COLUMBUS, OH.",4141 MORSE CROSSING,COLUMBUS,43219-6015,(614)476-7100,(614)476-7130,OH
530,"LOWE'S OF BIG FLATS, NY","913 COUNTY RD, RT 64",ELMIRA,14903-9701,(607)739-6106,(607)739-6740,NY
1510,"LOWE'S OF SANTA CLARITA, CA",26415 BOUQUET CANYON ROAD,SANTA CLARITA,91350-2396,(661)297-1400,(661)297-1646,CA
1555,"LOWE'S OF HAWTHORNE, CA",2800 W 120TH ST,HAWTHORNE,90250-3338,(323)327-4000,(323)327-4001,CA
519,"LOWE'S OF LONGVIEW, TX",3313 NORTH FOURTH,LONGVIEW,75605-7959,(903)663-5222,(903)663-6103,TX
2364,"LOWE'S OF DELTONA, FL",2170 HOWLAND BOULEVARD,DELTONA,32738,(386)960-9031,(386)960-9032,FL
2216,"LOWE'S OF LEWISTOWN, PA",10472 US HIGHWAY 522 SOUTH,LEWISTOWN,17044,(717)363-5000,(717)363-5001,PA
1038,"LOWE'S OF ROCKINGHAM, NC",1300-A EAST BROAD AVENUE,ROCKINGHAM,28379-4400,(910)410-0137,(910)410-9616,NC
647,"LOWE'S OF SMITHFIELD, NC",1230 N. BRIGHTLEAF BLVD.,SMITHFIELD,27577-4246,(919)934-6666,(919)934-7517,NC
2927,"LOWE'S OF GREENPORT, NY",490 FAIRVIEW AVENUE,HUDSON,12534,(518)267-4051,(518)267-4052,NY
